"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2021","0.3094","0.3100","0.3128","0.3029","149.40K","-0.19%"
"Oct 24, 2021","0.3100","0.3051","0.3255","0.3039","121.64K","1.62%"
"Oct 23, 2021","0.3051","0.3033","0.3090","0.2991","74.56K","0.60%"
"Oct 22, 2021","0.3033","0.2889","0.3056","0.2745","64.32K","4.98%"
"Oct 21, 2021","0.2889","0.2963","0.2978","0.2866","26.50K","-2.48%"
"Oct 20, 2021","0.2963","0.2926","0.3064","0.2834","90.77K","1.25%"
"Oct 19, 2021","0.2926","0.2910","0.3023","0.2878","92.40K","0.55%"
"Oct 18, 2021","0.2910","0.2735","0.2922","0.2718","39.67K","6.38%"
"Oct 17, 2021","0.2735","0.2794","0.3067","0.2688","47.15K","-2.09%"
"Oct 16, 2021","0.2794","0.2704","0.2800","0.2533","43.34K","3.33%"
"Oct 15, 2021","0.2704","0.2880","0.2880","0.2653","28.50K","-6.13%"
"Oct 14, 2021","0.2880","0.2877","0.2938","0.2855","6.87K","0.10%"
"Oct 13, 2021","0.2877","0.2802","0.2877","0.2757","13.98K","2.69%"
"Oct 12, 2021","0.2802","0.2703","0.2812","0.2584","52.96K","3.64%"
"Oct 11, 2021","0.2703","0.2777","0.2816","0.2691","13.68K","-2.65%"
"Oct 10, 2021","0.2777","0.2793","0.2822","0.2656","42.65K","-0.56%"
"Oct 09, 2021","0.2793","0.2904","0.2910","0.2760","32.51K","-3.82%"
"Oct 08, 2021","0.2904","0.2929","0.2934","0.2814","23.35K","-0.86%"
"Oct 07, 2021","0.2929","0.3023","0.3032","0.2915","25.09K","-3.12%"
"Oct 06, 2021","0.3023","0.2988","0.3466","0.2911","116.88K","1.18%"
"Oct 05, 2021","0.2988","0.2974","0.3034","0.2939","115.43K","0.48%"
"Oct 04, 2021","0.2974","0.2927","0.3060","0.2867","43.75K","1.58%"
"Oct 03, 2021","0.2927","0.2677","0.3137","0.2624","100.56K","9.35%"
"Oct 02, 2021","0.2677","0.2602","0.2722","0.2562","17.82K","2.89%"
"Oct 01, 2021","0.2602","0.2330","0.2710","0.2330","84.98K","11.66%"
"Sep 30, 2021","0.2330","0.1979","0.2824","0.1979","272.69K","17.76%"
"Sep 29, 2021","0.1979","0.1983","0.2041","0.1946","46.04K","-0.20%"
"Sep 28, 2021","0.1983","0.2126","0.2126","0.1983","40.46K","-6.77%"
"Sep 27, 2021","0.2126","0.2191","0.2191","0.2025","7.17K","-2.96%"
"Sep 26, 2021","0.2191","0.2111","0.2287","0.2009","226.68K","3.80%"
"Sep 25, 2021","0.2111","0.2321","0.2454","0.2105","6.61K","-9.05%"
"Sep 24, 2021","0.2321","0.2532","0.2532","0.2124","23.94K","-8.31%"
"Sep 23, 2021","0.2532","0.2251","0.2626","0.2212","14.32K","12.46%"
"Sep 22, 2021","0.2251","0.1961","0.2293","0.1944","83.28K","14.80%"
"Sep 21, 2021","0.1961","0.2251","0.2312","0.1961","15.43K","-12.89%"
"Sep 20, 2021","0.2251","0.2866","0.2874","0.2191","95.83K","-21.45%"
"Sep 19, 2021","0.2866","0.2847","0.2879","0.2732","10.98K","0.66%"
"Sep 18, 2021","0.2847","0.2862","0.2931","0.2840","2.35K","-0.52%"
"Sep 17, 2021","0.2862","0.2833","0.2862","0.2789","0.83K","1.03%"
"Sep 16, 2021","0.2833","0.2888","0.2909","0.2682","4.28K","-1.92%"
"Sep 15, 2021","0.2888","0.2840","0.2905","0.2794","17.99K","1.70%"
"Sep 14, 2021","0.2840","0.2621","0.2847","0.2621","7.30K","8.35%"
"Sep 13, 2021","0.2621","0.3059","0.3060","0.2621","182.28K","-14.32%"
"Sep 12, 2021","0.3059","0.3190","0.3190","0.2794","20.22K","-4.10%"
"Sep 11, 2021","0.3190","0.2724","0.3203","0.2724","89.58K","17.10%"
"Sep 10, 2021","0.2724","0.2969","0.3024","0.2650","126.30K","-8.24%"
"Sep 09, 2021","0.2969","0.2817","0.3073","0.2627","37.41K","5.38%"
"Sep 08, 2021","0.2817","0.2787","0.3020","0.2281","129.54K","1.10%"
"Sep 07, 2021","0.2787","0.3547","0.3559","0.2647","62.05K","-21.45%"
"Sep 06, 2021","0.3547","0.3615","0.3623","0.3378","23.07K","-1.87%"
"Sep 05, 2021","0.3615","0.3746","0.3746","0.3563","40.70K","-3.50%"
"Sep 04, 2021","0.3746","0.3554","0.3746","0.3373","48.39K","5.40%"
"Sep 03, 2021","0.3554","0.3586","0.3588","0.3408","26.97K","-0.89%"
"Sep 02, 2021","0.3586","0.3457","0.3649","0.3443","24.52K","3.73%"
"Sep 01, 2021","0.3457","0.3424","0.3693","0.3358","29.40K","0.97%"
"Aug 31, 2021","0.3424","0.3421","0.3497","0.3325","15.72K","0.07%"
"Aug 30, 2021","0.3421","0.3641","0.3643","0.3339","30.44K","-6.03%"
"Aug 29, 2021","0.3641","0.3729","0.3798","0.2666","50.23K","-2.36%"
"Aug 28, 2021","0.3729","0.3828","0.3898","0.3338","85.46K","-2.60%"
"Aug 27, 2021","0.3828","0.3767","0.3999","0.3655","78.96K","1.62%"
"Aug 26, 2021","0.3767","0.3470","0.3997","0.3324","172.19K","8.57%"
"Aug 25, 2021","0.3470","0.3273","0.3531","0.2967","162.54K","6.02%"
"Aug 24, 2021","0.3273","0.3887","0.4466","0.3211","244.21K","-15.79%"
"Aug 23, 2021","0.3887","0.1753","0.4860","0.1753","1.12M","121.74%"
"Aug 22, 2021","0.1753","0.1851","0.1856","0.1686","118.80K","-5.31%"
"Aug 21, 2021","0.1851","0.1797","0.1863","0.1793","173.42K","3.00%"
"Aug 20, 2021","0.1797","0.1788","0.1828","0.1764","23.88K","0.54%"
"Aug 19, 2021","0.1788","0.1697","0.1832","0.1646","24.87K","5.33%"
"Aug 18, 2021","0.1697","0.1801","0.1801","0.1697","21.82K","-5.77%"
"Aug 17, 2021","0.1801","0.1865","0.1911","0.1801","12.16K","-3.42%"
"Aug 16, 2021","0.1865","0.1913","0.1935","0.1722","53.78K","-2.50%"
"Aug 15, 2021","0.1913","0.1853","0.1913","0.1724","63.85K","3.21%"
"Aug 14, 2021","0.1853","0.1854","0.1886","0.1837","8.25K","-0.05%"
"Aug 13, 2021","0.1854","0.1757","0.1927","0.1757","37.84K","5.50%"
"Aug 12, 2021","0.1757","0.1895","0.1931","0.1725","86.77K","-7.27%"
"Aug 11, 2021","0.1895","0.1828","0.1895","0.1824","21.33K","3.67%"
"Aug 10, 2021","0.1828","0.1774","0.1828","0.1696","39.62K","3.03%"
