"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 02, 2019","0.0403","0.0399","0.0410","0.0392","60.07M","1.04%"
"Aug 01, 2019","0.0399","0.0407","0.0409","0.0390","57.95M","-2.00%"
"Jul 31, 2019","0.0407","0.0406","0.0412","0.0400","59.61M","0.28%"
"Jul 30, 2019","0.0406","0.0412","0.0413","0.0403","50.66M","-1.50%"
"Jul 29, 2019","0.0412","0.0413","0.0417","0.0403","48.84M","-0.20%"
"Jul 28, 2019","0.0413","0.0409","0.0422","0.0393","41.68M","0.49%"
"Jul 27, 2019","0.0411","0.0422","0.0427","0.0396","41.10M","-2.60%"
"Jul 26, 2019","0.0422","0.0417","0.0426","0.0410","52.52M","1.16%"
"Jul 25, 2019","0.0417","0.0414","0.0427","0.0413","59.17M","0.80%"
"Jul 24, 2019","0.0414","0.0414","0.0420","0.0400","44.72M","0.00%"
"Jul 23, 2019","0.0414","0.0455","0.0475","0.0403","42.34M","-9.05%"
"Jul 22, 2019","0.0455","0.0463","0.0470","0.0450","35.84M","-1.73%"
"Jul 21, 2019","0.0463","0.0471","0.0491","0.0452","27.91M","-1.73%"
"Jul 20, 2019","0.0471","0.0479","0.0487","0.0466","46.19M","-1.64%"
"Jul 19, 2019","0.0479","0.0434","0.0522","0.0428","64.01M","10.50%"
"Jul 18, 2019","0.0434","0.0401","0.0438","0.0384","61.97M","8.11%"
"Jul 17, 2019","0.0401","0.0379","0.0413","0.0372","76.05M","5.78%"
"Jul 16, 2019","0.0379","0.0426","0.0439","0.0372","66.57M","-11.04%"
"Jul 15, 2019","0.0426","0.0405","0.0434","0.0390","66.18M","5.21%"
"Jul 14, 2019","0.0405","0.0462","0.0468","0.0405","74.37M","-12.33%"
"Jul 13, 2019","0.0462","0.0470","0.0487","0.0450","34.02M","-1.65%"
"Jul 12, 2019","0.0470","0.0450","0.0489","0.0449","59.48M","4.41%"
"Jul 11, 2019","0.0450","0.0492","0.0492","0.0441","69.79M","-8.58%"
"Jul 10, 2019","0.0492","0.0529","0.0534","0.0473","68.96M","-6.97%"
"Jul 09, 2019","0.0529","0.0514","0.0555","0.0508","63.71M","2.94%"
"Jul 08, 2019","0.0514","0.0518","0.0525","0.0490","61.96M","-0.75%"
"Jul 07, 2019","0.0518","0.0518","0.0545","0.0512","66.07M","0.00%"
"Jul 06, 2019","0.0518","0.0542","0.0544","0.0514","63.47M","-4.42%"
"Jul 05, 2019","0.0542","0.0593","0.0648","0.0541","89.15M","-8.63%"
"Jul 04, 2019","0.0593","0.0525","0.0664","0.0510","103.45M","12.57%"
"Jul 03, 2019","0.0527","0.0460","0.0611","0.0457","77.94M","14.57%"
"Jul 02, 2019","0.0460","0.0486","0.0486","0.0446","62.61M","-5.40%"
"Jul 01, 2019","0.0486","0.0497","0.0523","0.0464","65.81M","-2.19%"
"Jun 30, 2019","0.0497","0.0503","0.0517","0.0473","65.36M","-1.20%"
"Jun 29, 2019","0.0503","0.0466","0.0520","0.0454","66.02M","7.95%"
"Jun 28, 2019","0.0466","0.0461","0.0476","0.0444","64.68M","1.10%"
"Jun 27, 2019","0.0461","0.0501","0.0510","0.0447","78.64M","-8.01%"
"Jun 26, 2019","0.0501","0.0522","0.0550","0.0486","78.47M","-4.02%"
"Jun 25, 2019","0.0522","0.0540","0.0559","0.0517","72.11M","-3.33%"
"Jun 24, 2019","0.0540","0.0542","0.0565","0.0532","74.53M","-0.35%"
"Jun 23, 2019","0.0542","0.0556","0.0589","0.0532","80.11M","-2.53%"
"Jun 22, 2019","0.0556","0.0560","0.0572","0.0536","77.22M","-0.70%"
"Jun 21, 2019","0.0560","0.0568","0.0585","0.0556","76.28M","-1.44%"
"Jun 20, 2019","0.0568","0.0581","0.0588","0.0555","78.80M","-2.21%"
"Jun 19, 2019","0.0581","0.0565","0.0596","0.0560","77.30M","2.81%"
"Jun 18, 2019","0.0565","0.0566","0.0592","0.0551","74.94M","-0.14%"
"Jun 17, 2019","0.0566","0.0566","0.0584","0.0561","73.27M","0.00%"
"Jun 16, 2019","0.0566","0.0586","0.0591","0.0557","82.11M","-3.40%"
"Jun 15, 2019","0.0586","0.0573","0.0598","0.0566","712.33K","2.27%"
"Jun 14, 2019","0.0573","0.0565","0.0588","0.0550","573.35K","1.42%"
"Jun 13, 2019","0.0565","0.0582","0.0590","0.0565","329.77K","-2.92%"
